name,user_id,created_at,posts_count,active
Reduced dedicated hierarchy,647,'2022-04-10',468630,false
Persistent 6th generation array,787,'2022-01-25',749625,false
Universal 3rd generation budgetary management,328,'2021-11-16',552321,true
Fundamental discrete contingency,174,'2022-06-23',222742,false
Fully-configurable bifurcated migration,718,'2021-10-14',140250,true
Up-sized 5th generation moderator,200,'2021-12-16',314105,false
Enterprise-wide interactive customer loyalty,929,'2022-01-27',654269,false
Configurable zero administration time-frame,966,'2021-09-20',559724,true
Streamlined non-volatile projection,66,'2022-01-29',586869,false
Ergonomic exuding moratorium,637,'2022-02-21',883334,true
Operative systemic leverage,807,'2022-05-11',997584,true
Networked executive open architecture,38,'2022-07-05',790865,true
Virtual next generation knowledge user,485,'2021-12-20',32612,true
Synchronised regional product,857,'2022-07-15',434901,false
Expanded neutral internet solution,755,'2021-09-30',194823,false
Networked transitional extranet,964,'2022-05-11',531309,true
Customer-focused system-worthy policy,830,'2021-10-13',682385,false
Centralized dedicated database,359,'2022-07-25',556967,true
Self-enabling background data-warehouse,491,'2021-12-22',986512,false
Cross-platform static knowledge base,628,'2021-11-22',931949,true
Innovative homogeneous moderator,697,'2022-08-21',976856,false
Visionary zero defect array,312,'2021-11-29',97318,true
Sharable client-driven capacity,470,'2022-03-20',665740,false
Focused composite framework,360,'2022-03-08',841439,true
Adaptive dedicated pricing structure,418,'2022-09-06',599466,false
Digitized next generation circuit,506,'2022-05-28',842897,false
Progressive explicit conglomeration,559,'2022-08-15',337874,false
Enterprise-wide next generation encoding,400,'2021-11-10',806233,false
Cross-group multi-state Graphical User Interface,986,'2022-07-08',658245,true
Seamless encompassing product,317,'2022-08-29',938201,false
Reduced didactic solution,118,'2022-02-25',206520,true
Realigned non-volatile extranet,939,'2022-07-30',238544,false
Future-proofed explicit support,166,'2022-08-15',658652,false
Right-sized mobile budgetary management,964,'2021-12-18',26507,false
Persistent asynchronous protocol,770,'2022-06-26',600542,true